frame,tile_index,changed_bytes,first_byte,last_byte
13,0001,15,0,15
13,0002,13,1,15
13,0003,16,0,15
13,0004,13,0,14
13,0005,15,0,15
13,0006,15,0,15
13,0007,13,0,15
13,0008,14,0,15
13,0009,16,0,15
13,000A,14,0,15
13,000B,13,0,14
13,000C,14,0,15
13,000D,15,0,15
13,000E,14,0,15
13,000F,13,0,14
13,0010,12,1,15
13,0011,15,0,15
13,0012,12,1,15
13,0013,16,0,15
13,0014,16,0,15
13,0015,12,0,13
13,0016,14,0,15
13,0017,14,0,14
13,0018,16,0,15
13,0019,12,0,13
13,001A,13,0,15
13,001B,16,0,15
13,001E,3,0,2
13,001F,3,5,7
13,0020,16,0,15
13,0021,12,0,14
13,0022,15,0,15
13,0023,15,0,15
13,0024,15,0,15
13,0025,15,0,15
13,0026,12,0,15
13,0027,14,0,15
13,0028,9,3,11
13,0029,14,0,15
13,002A,16,0,15
13,002B,16,0,15
13,002C,15,1,15
13,002D,8,8,15
13,002E,16,0,15
13,002F,16,0,15
13,0030,10,3,15
13,0031,10,0,12
13,0032,16,0,15
13,0033,13,0,15
13,0034,15,0,15
13,0035,8,0,9
13,0036,8,4,15
13,0037,8,0,11
13,0038,8,4,15
13,0039,7,0,11
13,003A,4,6,15
13,003B,5,0,10
13,003C,8,4,15
13,003D,8,0,11
13,003E,3,0,2
13,0040,14,1,15
13,0041,16,0,15
13,0042,15,0,15
13,0043,13,0,12
13,0044,8,3,15
13,0045,8,0,10
13,0046,7,3,15
13,0047,5,0,11
13,0048,16,0,15
13,0049,15,0,15
13,004A,12,0,15
13,004B,8,8,15
13,004C,13,3,15
13,004D,16,0,15
13,004E,14,1,15
13,004F,13,0,14
13,0050,16,0,15
13,0051,12,0,14
13,0052,15,0,15
13,0053,12,0,14
13,0054,15,0,15
13,0055,16,0,15
13,0056,12,2,15
13,0057,12,0,13
13,0058,13,0,15
13,0059,16,0,15
13,005A,13,0,15
13,005B,13,0,14
13,005C,11,1,15
13,005D,15,0,14
13,005E,10,0,14
13,005F,15,0,14
13,0060,14,0,15
13,0061,16,0,15
13,0062,10,3,15
13,0063,10,0,12
13,0064,15,0,15
13,0065,15,0,15
13,0066,13,0,15
13,0067,15,0,14
13,0068,12,2,15
13,0069,13,0,14
13,006A,12,2,15
13,006B,9,0,10
13,006C,16,0,15
13,006D,14,0,15
13,006E,2,14,15
13,006F,8,8,15
13,0070,16,0,15
13,0071,16,0,15
13,0072,16,0,15
13,0073,16,0,15
13,0074,14,0,15
13,0075,16,0,15
13,0076,15,1,15
13,0077,16,0,15
13,0078,16,0,15
13,0079,15,0,15
13,007A,9,0,15
13,007B,10,1,15
13,007C,13,2,15
13,007D,13,0,14
13,007E,14,0,15
13,007F,14,0,13
13,0080,13,1,15
13,0081,16,0,15
