frame,pc,ret_pc,ret2_pc,trace_last,trace_seq,addr,tile_index,byte_in_tile,value,vram_addr_curr,ppu_buf_index,ppu_buf_0,ppu_buf_1,ppu_buf_2,ppu_buf_3,ppu_buf_4,ppu_buf_5,trace_ppu_ptr_raw,trace_ppu_ptr_res,trace_ppu_evt_arg0,trace_ppu_evt_arg1,trace_ppu_evt_arg2,trace_ppu_rom_hi,trace_ppu_rom_lo,trace_ppu_rom_ctrl,trace_ppu_rom_data,legacy_ppu_ptr,d0,d1,d2,d3,d4,a0,a1
3,0003D4,00000000,00000000,0000,0000,FFC250,0025,0,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F6B,00000000,00000000,00000000,00000000,00FFC254,00000000
3,0003D4,00000000,00000000,0000,0000,FFC254,0025,4,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F6A,00000000,00000000,00000000,00000000,00FFC258,00000000
3,0003D4,00000000,00000000,0000,0000,FFC258,0025,8,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F69,00000000,00000000,00000000,00000000,00FFC25C,00000000
3,0003D4,00000000,00000000,0000,0000,FFC25C,0025,12,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000F68,00000000,00000000,00000000,00000000,00FFC260,00000000
14,00104E,00000800,00000000,0000,0000,FFC250,0025,0,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC254,00FF8000
14,00104E,00000800,00000000,0000,0000,FFC254,0025,4,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC258,00FF8000
14,00104E,00000800,00000000,0000,0000,FFC258,0025,8,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC25C,00FF8000
14,00104E,00000800,00000000,0000,0000,FFC25C,0025,12,00,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,00000000,78000666,00000000,00000000,FFFFFFFFC01E0000,00FFC260,00FF8000
16,0006F4,000003E8,00000000,0000,0000,FFC250,0025,0,10101010,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,0000076B,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EAB2,00FFC254
16,0006F4,000003E8,00000000,0000,0000,FFC254,0025,4,101010,0000,00,00,00,00,00,00,00,0000,00000000,0000,0000,0000,00,00,00,00000000,0000,0000076A,78000666,00000000,00000000,FFFFFFFFC01E0000,0002EAB6,00FFC258
